"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"1",2021-01-01,"新北市",611251115,0.3896,459842480,0.2931,2326856,0.0015,495650897,0.3159,1569071348,0.0908,1568892801.09178,611240635.305357,2353339.20163767,495613235.864892
"2",2021-01-01,"台北市",399211598,0.3561,668672895,0.5964,1129074,0.001,52177065,0.0465,1121190632,0.0649,1121181916.49899,399252880.465292,1121181.91649899,52134959.1172032
"3",2021-01-01,"桃園市",333162819,0.1478,305794181,0.1357,3834893,0.0017,1611487819,0.7149,2254279712,0.1304,2253457487.10391,333061016.593957,3830877.72807664,1610996757.53058
"4",2021-01-01,"台中市",433898371,0.1644,421618095,0.1597,12330394,0.0047,1771769239,0.6712,2639616099,0.1527,2640063212.27301,434026392.097683,12408297.0976832,1772010428.07765
"5",2021-01-01,"台南市",276795188,0.1299,224559914,0.1054,31440875,0.0148,1597983126,0.75,2130779103,0.1233,2130549468.6907,276758375.982922,31532132.1366224,1597912101.51803
"6",2021-01-01,"高雄市",450087280,0.1886,398921862,0.1672,20799943,0.0087,1516397635,0.6355,2386206720,0.138,2385896303.82775,449980042.901914,20757297.8433014,1516237101.08254
"7",2021-01-01,"宜蘭縣",68874783,0.2554,63564146,0.2357,4621197,0.0171,132636860,0.4918,269696986,0.0156,269682418.328384,68876889.6410692,4611569.35341536,132629813.333899
"8",2021-01-01,"新竹縣",85188873,0.1147,69837591,0.0941,1675772,0.0023,585747571,0.7889,742449807,0.043,742163560.042508,85126160.3368756,1706976.18809777,585492832.517534
"9",2021-01-01,"苗栗縣",77454432,0.124,54719959,0.0876,2343754,0.0038,490187023,0.7847,624705168,0.0361,624657066.210046,77457476.2100457,2373696.85159817,490168399.855023
"10",2021-01-01,"彰化縣",173029749,0.1888,160468777,0.1751,36289220,0.0396,546604664,0.5965,916392410,0.053,916440759.565962,173024015.406054,36291054.0788121,546656913.081097
"11",2021-01-01,"南投縣",61570369,0.2777,49710211,0.2242,7685118,0.0347,102768513,0.4635,221734211,0.0128,221722618.198037,61572371.073595,7693774.8514719,102768433.53479
"12",2021-01-01,"雲林縣",95600765,0.2155,66050750,0.1489,30733156,0.0693,251202880,0.5663,443587551,0.0257,443591336.467428,95593933.0087307,30740879.6171927,251205773.841504
"13",2021-01-01,"嘉義縣",67721815,0.3028,40669168,0.1818,19073690,0.0853,96221943,0.4302,223686616,0.0129,223702794.279428,67737206.1078108,19081848.3520352,96236942.0990099
"14",2021-01-01,"屏東縣",123798626,0.3244,85534620,0.2241,65211041,0.1709,107137214,0.2807,381681501,0.0221,381680589.022758,123817183.078983,65229212.6639893,107137741.338688
"15",2021-01-01,"台東縣",29129100,0.4182,27737300,0.3982,2502513,0.0359,10279897,0.1476,69648810,0.004,69656705.1732798,29130434.1034656,2500675.71572074,10281329.6835761
"16",2021-01-01,"花蓮縣",46311411,0.2362,55473740,0.2829,2054159,0.0105,92249952,0.4704,196089262,0.0113,196089572.287027,46316356.9741958,2058940.50901379,92240534.8038176
"17",2021-01-01,"基隆市",49639544,0.4726,37998951,0.3618,6728,1e-04,17383993,0.1655,105029216,0.0061,105027504.145937,49635998.4593698,10502.7504145937,17382051.9361526
"18",2021-01-01,"新竹市",76453631,0.0908,88212305,0.1048,824209,0.001,676174908,0.8034,841665053,0.0487,841720467.557252,76428218.4541985,841720.467557252,676238223.635496
"19",2021-01-01,"嘉義市",37843944,0.4445,38617454,0.4536,498270,0.0059,8184303,0.0961,85143971,0.0049,85135480.5996473,37842721.1265432,502299.335537919,8181519.6856261
"20",2021-01-01,"澎湖縣",14194511,0.418,15070796,0.4438,365677,0.0108,4328985,0.1275,33959969,0.002,33958530.8697612,14194665.9035602,366752.13339342,4329712.68589455
"21",2021-01-01,"金門縣",10187733,0.454,9514012,0.424,237756,0.0106,2497971,0.1113,22437472,0.0013,22438707.5471698,10187173.2264151,237850.3,2497428.15
"22",2021-01-01,"連江縣",2582075,0.4157,2946971,0.4745,5743,9e-04,676548,0.1089,6211337,4e-04,6210687.03898841,2581782.60210748,5589.61833508957,676343.818545838
"23",2021-01-01,"合計",3523987732,0.2039,3345536178,0.1935,245990038,0.0142,10169749006,0.5883,17285262954,1,17289592651.1628,3525347941.57209,245512215.646512,10171467356.6791
"24",2021-02-01,"新北市",641061049,0.4381,391034407,0.2672,2053383,0.0014,429032841,0.2932,1463181680,0.0933,1463452122.00599,641138374.650823,2048832.97080838,429084162.172156
"25",2021-02-01,"台北市",390393905,0.3845,585301517,0.5764,1035621,0.001,38714278,0.0381,1015445321,0.0648,1015443298.0569,390437948.10288,1015443.2980569,38688389.6559681
"26",2021-02-01,"桃園市",414057080,0.2037,279427793,0.1375,3753621,0.0018,1335506353,0.657,2032744847,0.1296,2032202130.90909,413959574.066182,3657963.83563636,1335156800.00727
"27",2021-02-01,"台中市",450846855,0.1911,370429911,0.157,11798493,0.005,1526194320,0.6469,2359269579,0.1505,2359426184.71338,450886343.898726,11797130.9235669,1526312798.89108
"28",2021-02-01,"台南市",287909256,0.1389,200809739,0.0969,28160017,0.0136,1555846950,0.7506,2072725962,0.1322,2072339927.76058,287848015.965944,28183823.0175439,1555498349.77709
"29",2021-02-01,"高雄市",343944006,0.1686,349849529,0.1715,18428935,0.009,1327288300,0.6508,2039510770,0.1301,2039938944.60641,343933706.060641,18359450.5014577,1327592265.14985
"30",2021-02-01,"宜蘭縣",78476925,0.3248,54816351,0.2269,4482730,0.0186,103847528,0.4298,241623534,0.0154,241588148.964301,78467830.7836051,4493539.57073601,103834586.424857
"31",2021-02-01,"新竹縣",101477723,0.1419,65504770,0.0916,1382452,0.0019,546981785,0.7646,715346730,0.0456,715117576.419214,101475184.093886,1358723.39519651,546778898.930131
"32",2021-02-01,"苗栗縣",72748870,0.136,47736873,0.0892,2181781,0.0041,412328156,0.7707,534995680,0.0341,535166737.668161,72782676.32287,2194183.62443946,412453004.720852
"33",2021-02-01,"彰化縣",180543612,0.2241,150734621,0.1871,33404086,0.0415,440871614,0.5473,805553933,0.0514,805636670.229824,180543177.798503,33433921.8145377,440924949.616783
"34",2021-02-01,"南投縣",77680560,0.3561,46749085,0.2143,7583167,0.0348,86105920,0.3948,218118732,0.0139,218147853.476435,77682450.6229585,7591545.30097993,86124772.5524965
"35",2021-02-01,"雲林縣",97628633,0.2441,54633409,0.1366,32075011,0.0802,215687897,0.5392,400024950,0.0255,399951749.633968,97628222.0856515,32076130.3206442,215653983.402635
"36",2021-02-01,"嘉義縣",63277957,0.3177,35123080,0.1763,18648226,0.0936,82142044,0.4124,199191307,0.0127,199223369.256948,63293264.4129325,18647307.3624504,82159717.4815655
"37",2021-02-01,"屏東縣",114563800,0.3356,76108736,0.223,61367059,0.1798,89322465,0.2617,341362060,0.0218,341294780.269058,114538528.258296,61364801.4923767,89316843.9964125
"38",2021-02-01,"台東縣",33130532,0.4726,26054053,0.3717,2389260,0.0341,8529591,0.1217,70103436,0.0045,70094304.5466774,33126568.3287598,2390215.7850417,8530476.86333064
"39",2021-02-01,"花蓮縣",54266698,0.2968,49310852,0.2697,1953438,0.0107,77301236,0.4228,182832224,0.0117,182835936.225436,54265705.8717093,1956344.51761216,77303033.8361142
"40",2021-02-01,"基隆市",61281124,0.5559,33566156,0.3045,12091,1e-04,15376429,0.1395,110235800,0.007,110233681.444992,61278903.5152709,11023.3681444992,15377598.5615764
"41",2021-02-01,"新竹市",70505591,0.0948,76741599,0.1031,819246,0.0011,595999161,0.801,744065597,0.0475,744341406.401552,70563565.3268671,818775.547041707,596217466.527643
"42",2021-02-01,"嘉義市",38843061,0.4868,33031452,0.4139,594040,0.0074,7331587,0.0919,79800140,0.0051,79805392.6069099,38849265.1210437,590559.905291133,7334115.58057502
"43",2021-02-01,"澎湖縣",12805205,0.4413,11868219,0.409,339516,0.0117,4001367,0.1379,29014307,0.0019,29017650.3667482,12805489.106846,339506.509290954,4001533.98557457
"44",2021-02-01,"金門縣",9375357,0.4897,7418434,0.3875,222984,0.0116,2130012,0.1112,19146787,0.0012,19144345.8064516,9374986.14141935,222074.411354839,2128851.25367742
"45",2021-02-01,"連江縣",2216398,0.404,2630567,0.4795,6682,0.0012,632859,0.1153,5486506,3e-04,5486062.56517205,2216369.27632951,6583.27507820646,632543.013764338
