"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"1",2020-01-01,"新北市",541209695,0.3834,427169496,0.3026,2212824,0.0016,441136587,0.3125,1411728602,0.0898,1411663899.53734,541231939.082617,2258662.23925975,441144968.60542
"2",2020-01-01,"台北市",350787555,0.3296,663459897,0.6233,1158389,0.0011,48979335,0.046,1064385176,0.0677,1064431087.7587,350836486.525269,1170874.19653457,48963830.0369004
"3",2020-01-01,"桃園市",287884683,0.1459,298807936,0.1515,3539430,0.0018,1382559476,0.7008,1972791525,0.1255,1972329610.56106,287762890.180858,3550193.2990099,1382208591.08119
"4",2020-01-01,"台中市",393278505,0.1668,384559871,0.1631,11993072,0.0051,1567585683,0.665,2357417131,0.15,2357816499.08032,393283792.046597,12024864.1453096,1567947971.88841
"5",2020-01-01,"台南市",252814679,0.1235,208790350,0.102,29008059,0.0142,1555914649,0.7603,2046527737,0.1302,2046964215.68627,252800080.637255,29066891.8627451,1556306893.18627
"6",2020-01-01,"高雄市",408751160,0.184,387861524,0.1746,18836288,0.0085,1406450379,0.633,2221899351,0.1414,2221429117.98396,408742957.709049,18882147.5028637,1406164631.68385
"7",2020-01-01,"宜蘭縣",59503442,0.2483,60027690,0.2505,4122739,0.0172,116003739,0.484,239657610,0.0152,239631497.005988,59500500.7065868,4121661.74850299,115981644.550898
"8",2020-01-01,"新竹縣",74747845,0.1041,63520700,0.0885,1552330,0.0022,578302708,0.8053,718123583,0.0457,717748022.59887,74717569.1525424,1579045.64971751,578002482.59887
"9",2020-01-01,"苗栗縣",69879210,0.1392,51270405,0.1022,1995080,0.004,378715947,0.7546,501860642,0.0319,501667367.906067,69832097.6125244,2006669.47162427,378558195.821918
"10",2020-01-01,"彰化縣",157663283,0.1984,150424033,0.1893,32039830,0.0403,454517075,0.572,794644221,0.0506,794633032.223983,157655193.593238,32023711.1986265,454530094.432118
"11",2020-01-01,"南投縣",57091671,0.2928,46021894,0.2361,7168651,0.0368,84675329,0.4343,194957545,0.0124,194925429.902584,57074165.8754765,7173255.82041508,84656114.2066921
"12",2020-01-01,"雲林縣",86957261,0.2163,60773122,0.1512,25569739,0.0636,228665115,0.5689,401965237,0.0256,401938637.566138,86939327.3055556,25563297.3492064,228662890.911376
"13",2020-01-01,"嘉義縣",62649139,0.3293,37445437,0.1968,17160432,0.0902,73000854,0.3837,190255862,0.0121,190271529.471545,62656414.6549797,17162491.9583333,73007185.8582317
"14",2020-01-01,"屏東縣",114748359,0.3374,79471257,0.2337,57213983,0.1682,88689836,0.2608,340123435,0.0216,340056726.572529,114735139.545571,57197541.4094994,88686794.2901155
"15",2020-01-01,"台東縣",26876624,0.4183,26278745,0.409,2240286,0.0349,8856131,0.1378,64251786,0.0041,64251210.2689487,26876281.2555012,2242367.23838631,8853816.77506112
"16",2020-01-01,"花蓮縣",42186173,0.2486,53098391,0.313,1870194,0.011,72510782,0.4274,169665540,0.0108,169643421.72524,42173354.6408946,1866077.63897764,72505598.4453674
"17",2020-01-01,"基隆市",43117510,0.45,36250616,0.3783,9075,1e-04,16435742,0.1715,95812943,0.0061,95825048.902987,43121272.0063442,9582.50489029871,16433995.8868623
"18",2020-01-01,"新竹市",66824622,0.0841,81634703,0.1027,686660,9e-04,645702395,0.8124,794848380,0.0506,794885131.450828,66849839.5550146,715396.618305745,645764680.790652
"19",2020-01-01,"嘉義市",34423799,0.4398,36817442,0.4703,438929,0.0056,6597503,0.0843,78277673,0.005,78285013.8209653,34429749.0784606,438396.077397406,6599426.66510738
"20",2020-01-01,"澎湖縣",12681469,0.3894,15496159,0.4758,310712,0.0095,4080661,0.1253,32569001,0.0021,32568640.1849517,12682228.4880202,309402.081757041,4080850.61517444
"21",2020-01-01,"金門縣",9137778,0.4339,9403209,0.4465,205557,0.0098,2314951,0.1099,21061495,0.0013,21059818.5890258,9137855.28577827,206386.222172452,2314474.06293393
