"","city","house","agri","industry","Total"
"1","台中市",486474244.25196,14383001.993865,1637095108.46693,2594368177.47749
"2","台北市",437723265.021995,802740.954814948,57220860.5657735,1295700795.31083
"3","台東縣",33583609.0964013,2199153.10935953,10709888.1771764,78878584.2799336
"4","台南市",316469481.471588,32183488.1034767,1599161724.27261,2220743396.28147
"5","合計",3921255099.54102,253591254.732317,9805492879.4574,17838874038.3256
"6","宜蘭縣",74728348.8128051,5691152.14367399,128197388.6715,277160607.406345
"7","花蓮縣",54215084.5509355,2030341.03808487,78199386.5583663,198514832.720129
"8","金門縣",10597493.8196295,258775.098328383,3323247.56270642,25075839.0032849
"9","南投縣",72063103.6105867,8677521.65122714,96149414.676711,232389095.586116
"10","屏東縣",133942278.196473,61179604.1809027,100493774.889919,391025727.923194
"11","苗栗縣",84248241.4079479,2548438.10454086,411349772.014585,558200078.873848
"12","桃園市",382508561.605394,4004027.68606507,1538533442.59037,2295737475.13247
"13","高雄市",462179022.601455,20441328.2425725,1476365152.93421,2426962254.44388
"14","基隆市",58820956.9165997,12137.9195705774,18209167.9651371,121379195.705774
"15","連江縣",2363422.02810774,9137.51020099356,643488.306994204,6019464.17937565
"16","雲林縣",109888403.587593,32336276.93621,249330932.775671,463239694.135168
"17","新北市",692480684.425468,2469019.56436492,503912034.226056,1709486475.53066
"18","新竹市",81152663.8125647,843157.09013483,661735604.71827,847324516.883463
"19","新竹縣",98669138.7056166,1597086.92653863,617739915.4024,801135859.872431
"20","嘉義市",43094182.9878491,608861.088116021,7620275.91079318,96558234.52806
"21","嘉義縣",73576250.5532806,22426533.1354773,87883434.3588373,229412408.617071
"22","彰化縣",196935976.057806,38724608.6501525,516312146.96158,930695945.133549
"23","澎湖縣",15202734.2832382,361911.976073564,4162280.49157014,37138891.4728784
