"","city","house","agri","industry","Total"
"1","台中市",480868187.0081,13734685.825877,1206113625.70697,2232298465.58214
"2","台北市",463449321.382437,1618894.69974066,36440878.7867065,1328019162.67305
"3","台東縣",32580627.9435319,2525288.42774635,10176402.8153434,77454611.0094303
"4","台南市",316501855.872049,32133951.1916112,1577343259.50595,2194793107.51812
"5","合計",3931502613.20701,243847739.706018,9122005461.46351,17273776165.8095
"6","宜蘭縣",72503642.5408523,5775935.30805756,132312969.094678,273987112.798017
"7","花蓮縣",53398356.2344923,2555958.75484761,86502256.8335523,202671501.700086
"8","金門縣",9695300.84561603,238591.476465998,2727766.40892187,24405614.8981019
"9","南投縣",70652035.4934451,9193989.36685056,94264366.4413739,229763173.566438
"10","屏東縣",131650889.590277,58969593.6105797,91515919.2796712,373128757.682894
"11","苗栗縣",83698430.3673,2063421.80505766,434520392.44396,584951633.350197
"12","桃園市",375148915.60233,2582910.33414601,1569855042.23765,2316765848.197
"13","高雄市",467517634.845102,19616515.4290054,1360422738.63577,2316223668.44431
"14","基隆市",59638912.4358779,10968.6232309146,17753283.830076,123029672.240001
"15","連江縣",2193100.18454727,18100.3033608868,467525.066853629,5570362.16407306
"16","雲林縣",107277122.18656,30948476.2998536,239358849.524317,446993688.343619
"17","新北市",699611262.371941,1810706.69932349,441012468.367709,1697418108.16203
"18","新竹市",83436069.934591,735090.094970276,660304174.64142,851811871.781052
"19","新竹縣",95957488.7488165,1592997.20848715,598708552.388527,774182230.021879
"20","嘉義市",44329663.3400212,533245.373874625,7096370.62505442,98939346.0968122
"21","嘉義縣",72626052.9729464,19667524.5030462,78380794.7127514,219644468.319307
"22","彰化縣",194267096.198344,37268317.7835969,473282157.578478,867801399.495713
"23","澎湖縣",14728436.9517203,453317.146817371,3601554.89920539,33918032.3185313
