"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"1",2019-01-01,"新北市",553429935,0.3665,487093470,0.3226,2321776,0.0015,467165077,0.3094,1510010258,0.091,1509899163.05022,553378043.257905,2264848.74457533,467162801.047737
"2",2019-01-01,"台北市",358179967,0.3166,714973678,0.632,543048,5e-04,57513110,0.0508,1131209803,0.0682,1131287465.18987,358165611.479114,565643.732594937,57469403.2316456
"3",2019-01-01,"桃園市",293209109,0.1345,367476595,0.1685,3029985,0.0014,1516634248,0.6956,2180349937,0.1314,2180870000,293327015,3053218,1517013172
"4",2019-01-01,"台中市",402854536,0.1669,425589299,0.1763,12931669,0.0054,1573093523,0.6515,2414469027,0.1455,2414006233.69257,402897640.40329,13035633.6619399,1572725061.25071
"5",2019-01-01,"台南市",259323202,0.1247,323935059,0.1557,26552166,0.0128,1470104316,0.7068,2079914743,0.1253,2080507764.93256,259439318.287091,26630499.3911368,1470502888.25434
"6",2019-01-01,"高雄市",431364517,0.1815,435363718,0.1832,19663015,0.0083,1490493841,0.6271,2376885091,0.1432,2376439508.73362,431323770.835153,19724447.9224891,1490265215.92686
"7",2019-01-01,"宜蘭縣",62690453,0.2382,65580386,0.2492,4252705,0.0162,130611488,0.4964,263135032,0.0159,263163667.736758,62685585.6548957,4263251.41733547,130634444.664526
"8",2019-01-01,"新竹縣",75670638,0.1004,86262679,0.1145,1339515,0.0018,590315008,0.7833,753587840,0.0454,753385842.79476,75639938.6165939,1356094.51703057,590127130.661135
"9",2019-01-01,"苗栗縣",72468036,0.1406,57372175,0.1113,1995948,0.0039,383542893,0.7442,515379052,0.0311,515473270.440252,72475541.8238994,2010345.75471698,383615207.861635
"10",2019-01-01,"彰化縣",163665818,0.1879,175026586,0.2009,30901033,0.0355,501612058,0.5758,871205495,0.0525,871212473.867596,163700823.839721,30928042.8222996,501644142.452962
"11",2019-01-01,"南投縣",58752131,0.2788,53836693,0.2555,8051651,0.0382,90101948,0.4275,210742423,0.0127,210711127.201566,58746262.2637965,8049165.0590998,90079006.8786693
"12",2019-01-01,"雲林縣",91036914,0.2125,67761517,0.1581,26146359,0.061,243557257,0.5684,428502047,0.0258,428599095.509171,91077307.7956989,26144544.8260595,243615725.887413
"13",2019-01-01,"嘉義縣",64790187,0.3101,42671939,0.2043,17391861,0.0833,84052989,0.4023,208906976,0.0126,208869011.257954,64770280.3910915,17398788.6377876,84028003.2290749
"14",2019-01-01,"屏東縣",122217102,0.3315,91179258,0.2473,58857419,0.1597,96393069,0.2615,368646848,0.0222,368698980.994743,122223712.199757,58881227.2648605,96414783.5301254
"15",2019-01-01,"台東縣",27487368,0.4037,27792849,0.4082,1778052,0.0261,11035615,0.1621,68093884,0.0041,68086352.278295,27486460.4147477,1777053.7944635,11036797.7043116
"16",2019-01-01,"花蓮縣",43755366,0.2438,82149589,0.4577,1472779,0.0082,52087368,0.2902,179465102,0.0108,179483480.445707,43758072.5326633,1471764.5396548,52086106.0253441
"17",2019-01-01,"基隆市",45491581,0.4453,41268324,0.4039,7797,1e-04,15397021,0.1507,102164723,0.0062,102174607.576133,45498352.7536519,10217.4607576133,15397713.3617232
"18",2019-01-01,"新竹市",68493095,0.0865,91720861,0.1158,702100,9e-04,631074774,0.7968,791990830,0.0477,792062702.936097,68513423.8039724,712856.432642487,631115561.699482
"19",2019-01-01,"嘉義市",35751603,0.4254,40825582,0.4857,500654,0.006,6973446,0.083,84051285,0.0051,84055141.0335598,35757056.9956763,504330.846201359,6976576.70578546
"20",2019-01-01,"澎湖縣",13280256,0.4048,15557824,0.4742,319018,0.0097,3652499,0.1113,32809597,0.002,32808570.2235344,13280909.2264867,318243.131168283,3651593.86587938
"21",2019-01-01,"金門縣",9259756,0.4373,9312642,0.4398,197064,0.0093,2406267,0.1136,21175729,0.0013,21174720.3274216,9259705.19918144,196924.89904502,2405448.22919509
"22",2019-01-01,"連江縣",2393610,0.4229,2656475,0.4694,6144,0.0011,603486,0.1066,5659715,3e-04,5659299.10524073,2393317.59160631,6225.22901576481,603281.284618662
"23",2019-01-01,"合計",3255565180,0.1961,3705407198,0.2232,218961758,0.0132,9418421301,0.5674,16598355437,1,16601286729.3907,3255512327.63351,219136984.827957,9419570090.25627
"24",2019-02-01,"新北市",552182772,0.4104,402700480,0.2993,2102209,0.0016,388499754,0.2887,1345485215,0.0923,1345474373.53826,552182682.9001,2152758.99766121,388438451.640495
"25",2019-02-01,"台北市",338095776,0.3392,615405369,0.6174,465516,5e-04,42855962,0.043,996822623,0.0684,996769305.150632,338104148.307094,498384.652575316,42861080.1214772
"26",2019-02-01,"桃園市",356089544,0.187,298705247,0.1568,3246549,0.0017,1246679977,0.6545,1904721317,0.1307,1905007952.80612,356236487.174745,3238513.51977041,1246827705.11161
"27",2019-02-01,"台中市",396046056,0.1863,364711790,0.1716,12005230,0.0056,1352950122,0.6365,2125713198,0.1458,2125360081.58508,395954583.199301,11902016.4568765,1352791691.9289
"28",2019-02-01,"台南市",258971782,0.142,223961814,0.1228,25828724,0.0142,1314936931,0.721,1823699251,0.1251,1823793273.61564,258978644.85342,25897864.485342,1314954950.27687
"29",2019-02-01,"高雄市",322525419,0.16,381673495,0.1893,18728915,0.0093,1293254378,0.6414,2016182207,0.1383,2016236106.70893,322597777.073428,18750995.792393,1293213838.84311
"30",2019-02-01,"宜蘭縣",66937576,0.3087,54467131,0.2512,4180100,0.0193,91221815,0.4208,216806622,0.0149,216827750.796178,66934726.6707803,4184775.59036624,91241117.5350319
"31",2019-02-01,"新竹縣",85689623,0.127,69627047,0.1032,1151768,0.0017,518283629,0.7681,674752067,0.0463,674680687.984496,85684447.374031,1146957.16957364,518222236.440891
"32",2019-02-01,"苗栗縣",64397131,0.1467,47564601,0.1083,1985753,0.0045,325134934,0.7405,439082419,0.0301,439192991.689751,64429611.8808864,1976368.46260388,325222410.34626
"33",2019-02-01,"彰化縣",164535647,0.2177,152980514,0.2024,30063351,0.0398,408377414,0.5402,755956926,0.0519,755832579.051383,164544752.459486,30082136.6462451,408300759.203557
"34",2019-02-01,"南投縣",69352581,0.3545,47456922,0.2426,8121976,0.0415,70676375,0.3613,195607854,0.0134,195617980.214345,69346573.9859852,8118146.1788953,70676776.2514427
"35",2019-02-01,"雲林縣",90703742,0.2381,56061513,0.1472,27735842,0.0728,206473734,0.542,380974831,0.0261,380852669.836957,90681020.6881793,27726074.3641304,206422147.05163
"36",2019-02-01,"嘉義縣",60777465,0.3315,36473132,0.1989,19130893,0.1043,66978888,0.3653,183360378,0.0126,183374218.200101,60788553.3333333,19125930.9582705,66986601.9084967
"37",2019-02-01,"屏東縣",107001042,0.3303,80793817,0.2494,58950477,0.182,77227796,0.2384,323973132,0.0222,323952754.611067,107001594.848035,58959401.3392141,77230336.6992783
"38",2019-02-01,"台東縣",30391231,0.4482,26345076,0.3885,1839097,0.0271,9231685,0.1361,67807089,0.0047,67812293.4362934,30393469.9181467,1837713.15212355,9229253.13667954
"39",2019-02-01,"花蓮縣",49231747,0.278,51260880,0.2895,1478567,0.0083,75122187,0.4242,177093381,0.0122,177066943.005181,49224610.1554404,1469655.62694301,75111797.2227979
"40",2019-02-01,"基隆市",54577151,0.5281,34384357,0.3327,12973,1e-04,14369785,0.139,103344266,0.0071,103349434.92636,54578836.5846108,10334.943492636,14365571.4547641
"41",2019-02-01,"新竹市",61821817,0.0864,79042434,0.1105,718003,0.001,573807193,0.8021,715389447,0.0491,715316144.79638,61803314.9104072,715316.14479638,573755079.741176
"42",2019-02-01,"嘉義市",35389709,0.4581,35322738,0.4573,608524,0.0079,5928344,0.0767,77249315,0.0053,77241937.4589985,35384531.5499672,610211.305926088,5924456.60310518
"43",2019-02-01,"澎湖縣",11608353,0.4196,12278024,0.4438,317460,0.0115,3462711,0.1252,27666548,0.0019,27665669.2203695,11608514.8048671,318155.19603425,3463741.78639027
"44",2019-02-01,"金門縣",8510483,0.4599,7762524,0.4195,218103,0.0118,2014397,0.1089,18505507,0.0013,18504228.8438617,8510094.84529201,218349.900357569,2015110.52109654
"45",2019-02-01,"連江縣",2081052,0.3913,2667450,0.5015,6646,0.0012,563558,0.106,5318706,4e-04,5318943.17048854,2081302.46261216,6382.73180458624,563807.976071785
"46",2019-02-01,"合計",3186917699,0.2186,3081646355,0.2114,218896676,0.015,8088051569,0.5549,14575512299,1,14577324290.4447,3186603089.8912,218659864.35667,8088957248.76774
"47",2019-03-01,"新北市",557974921,0.3766,450136489,0.3038,2074939,0.0014,471521449,0.3182,1481707798,0.0894,1481686928.90059,558003297.423963,2074361.70046083,471472780.776168
"48",2019-03-01,"台北市",353535732,0.3206,695577522,0.6308,542609,5e-04,52969004,0.048,1102624867,0.0665,1102691062.14331,353522754.523145,551345.531071655,52929170.9828789
"49",2019-03-01,"桃園市",305723767,0.1423,319247046,0.1486,2923947,0.0014,1520481195,0.7077,2148375955,0.1296,2148365047.10633,305712346.20323,3007711.06594886,1520397943.83715
"50",2019-03-01,"台中市",401601395,0.1651,400373949,0.1646,12429337,0.0051,1618167280,0.6652,2432571961,0.1467,2432405522.47874,401590151.761239,12405268.1646416,1618036153.55286
"51",2019-03-01,"台南市",259582634,0.1252,234949865,0.1133,24600839,0.0119,1554439764,0.7496,2073573102,0.1251,2073696954.98676,259626858.764342,24676993.7643425,1554443237.45808
"52",2019-03-01,"高雄市",413224836,0.1744,423430400,0.1787,19424809,0.0082,1513768210,0.6388,2369848255,0.143,2369504196.97818,413241531.952994,19429934.415221,1513639281.02966
"53",2019-03-01,"宜蘭縣",63130953,0.2396,61828811,0.2347,4557949,0.0173,133946429,0.5084,263464142,0.0159,263437626.757563,63119655.3711121,4557470.94290584,133931689.443545
"54",2019-03-01,"新竹縣",79033184,0.1046,70246161,0.093,1278294,0.0017,604853591,0.8007,755411230,0.0456,755335064.516129,79008047.7483871,1284069.60967742,604796786.158064
"55",2019-03-01,"苗栗縣",74585402,0.14,52723859,0.099,2130755,0.004,403297626,0.757,532737642,0.0321,532564232.323232,74558992.5252525,2130256.92929293,403151123.868687
"56",2019-03-01,"彰化縣",170627516,0.1937,161563476,0.1834,30766195,0.0349,517891660,0.5879,880848847,0.0531,880934983.642312,170637106.331516,30744630.9291167,517901676.883315
"57",2019-03-01,"南投縣",59641299,0.2852,49973604,0.2389,7561715,0.0362,91967039,0.4397,209143657,0.0126,209182101.297614,59658735.2900795,7572392.06697363,91977369.9405609
"58",2019-03-01,"雲林縣",97559360,0.2228,65628534,0.1499,27991472,0.0639,246614708,0.5633,437794074,0.0264,437815436.957972,97545279.3542362,27976406.4216144,246621435.638426
"59",2019-03-01,"嘉義縣",68428877,0.3041,41774175,0.1856,19267173,0.0856,95550248,0.4246,225020473,0.0136,225076373.922414,68445725.309806,19266537.6077586,95567428.3674569
"60",2019-03-01,"屏東縣",120909249,0.3316,89655936,0.2459,58171373,0.1595,95930546,0.2631,364667104,0.022,364603237.088247,120902433.418463,58154216.3155754,95927111.6779179
"61",2019-03-01,"台東縣",27905907,0.3999,28933140,0.4147,2040931,0.0292,10895874,0.1562,69775852,0.0042,69768844.9481553,27900561.0947673,2037250.27248613,10897893.5809019
"62",2019-03-01,"花蓮縣",44328931,0.2428,56384407,0.3089,1597015,0.0087,80230366,0.4395,182540719,0.011,182532881.191324,44318983.5532535,1588036.06636452,80223201.2835869
"63",2019-03-01,"基隆市",48228844,0.4683,38081609,0.3698,9044,1e-04,16667263,0.1618,102986760,0.0062,102978931.855057,48225033.7877231,10297.8931855057,16661991.1741482
"64",2019-03-01,"新竹市",69513234,0.0868,90656177,0.1132,696194,9e-04,640257597,0.7992,801123202,0.0483,800849620.141343,69513747.0282685,720764.658127208,640039016.416961
"65",2019-03-01,"嘉義市",35728025,0.4292,40155877,0.4824,501053,0.006,6848930,0.0823,83233885,0.005,83241867.7446103,35727409.6359867,499451.206467662,6850805.71538143
"66",2019-03-01,"澎湖縣",13311368,0.4131,14889871,0.4621,297675,0.0092,3722772,0.1155,32221686,0.0019,32222183.5100628,13310984.0080069,296444.088292577,3721662.19541225
"67",2019-03-01,"金門縣",10171530,0.4595,9472468,0.428,201574,0.0091,2288941,0.1034,22134513,0.0013,22131934.5794393,10169623.9392523,201400.604672897,2288442.03551402
