"","city","house","agri","industry","Total"
"1","台中市",522172221.799988,14539011.89201,1726720713.44907,2725247477.71643
"2","台北市",468760645.767061,1349293.80834706,53001245.3442414,1296360173.81704
"3","台東縣",35546173.5928979,2555729.88946398,10277054.2298878,81067697.2010136
"4","台南市",339580574.622162,35782095.4807116,1760165025.833,2392330370.9994
"5","合計",4171896445.39034,272767918.790235,10135042092.2476,18349162252.3878
"6","宜蘭縣",78677861.3095612,6074898.01474264,131062910.728322,284638033.00074
"7","花蓮縣",56892991.6177715,2329600.82567673,81828841.4294774,203177032.560083
"8","金門縣",10789073.1708764,277436.944831815,3301592.11028367,24973394.6775151
"9","南投縣",75562394.9962106,8903897.08159265,97381203.7931061,236824119.056716
"10","屏東縣",140380316.589354,64624321.7252785,105087645.011743,405143730.542415
"11","苗栗縣",89612616.2753323,2859900.27250008,432656268.8039,585639249.096469
"12","桃園市",408502150.417122,4391911.78317031,1538991845.60922,2308096901.76876
"13","高雄市",489121338.23336,21116274.45916,1498952867.08956,2465539230.49447
"14","基隆市",61017817.3803154,12313.4403646728,18783794.0936914,123134403.646728
"15","連江縣",2434669.71342355,7836.8968567546,695369.656587604,6327734.38243025
"16","雲林縣",117294492.148349,35385251.9310273,248627375.504351,472600612.545137
"17","新北市",733918156.574527,2420563.64374062,502649456.861872,1742242957.23839
"18","新竹市",86496431.1092984,877575.886659582,685359893.014683,873759946.947793
"19","新竹縣",105847747.678007,1942570.46126655,621270830.452657,808151729.370728
"20","嘉義市",46002799.1279402,605077.871352368,8043881.57547998,99535577.9016794
"21","嘉義縣",78114981.6881868,23642639.5066808,91846046.5971999,238576783.258962
"22","彰化縣",209168646.395115,42574605.4751866,514413592.898884,938684245.493436
"23","澎湖縣",16035702.9658066,395882.576981347,4449406.50755528,38110056.3189634
