"","date","city","house","agri","industry","Total"
"35",2016-02-01,"基隆市",51890968.4742756,9925.58693081017,13796565.8338261,99255869.3081017
"36",2016-02-01,"連江縣",1764067.73838538,16390.3293983244,443475.484006093,4682951.25666413
"37",2016-02-01,"雲林縣",81130099.1944444,23725091,190806616.361111,346858055.555556
"38",2016-02-01,"新北市",538695045.85216,1408185.71872,340012842.62912,1280168835.2
"39",2016-02-01,"新竹市",61532137.3440454,575739.296786389,581424722.342155,719674120.982987
"40",2016-02-01,"新竹縣",80860022.2198731,1021927.61099366,496337466.564482,638704756.871036
"41",2016-02-01,"嘉義市",34727640.5637525,451296.564633341,5208406.25412905,73983043.3825149
"42",2016-02-01,"嘉義縣",55119776.6719368,14611422.9314888,54974469.7035573,161452187.088274
"43",2016-02-01,"彰化縣",154424781.384295,27153798.6183047,354592758.973999,663907056.682267
"44",2016-02-01,"澎湖縣",10490675.5827288,318704.068336064,3015616.525392,24144247.6012169
"45",2016-03-01,"台中市",403829177.890311,11284647.6855576,1159094526.55942,2015115658.13528
"46",2016-03-01,"台北市",384031227.592872,1331130.77155242,32945486.5959223,1109275642.96035
"47",2016-03-01,"台東縣",26640892.6663429,2404340.56313745,10130199.4363769,66602231.6658572
"48",2016-03-01,"台南市",257835654.386916,26460460.9514019,1547629285.8785,2051198523.36449
"49",2016-03-01,"宜蘭縣",61786277.0424638,4864459.56929538,133454283.471769,254683747.083528
"50",2016-03-01,"花蓮縣",42763568.0924429,2139084.79648506,84802022.6945518,181278372.58348
"51",2016-03-01,"金門縣",9322292.0666811,201308.397488634,2000234.50270621,21415786.9668759
"52",2016-03-01,"南投縣",58553751.7610891,7772804.37110233,92902537.1251647,206175182.257356
"53",2016-03-01,"屏東縣",113919106.371912,57112078.023407,89718498.8296489,338944083.224967
"54",2016-03-01,"苗栗縣",75539914.141844,1519804.53191489,430273549.702128,562890567.375887
"55",2016-03-01,"桃園市",311505415.73617,1934816.24680851,1533234385.80426,2149795829.78723
"56",2016-03-01,"高雄市",408502637.045554,19151961.6728869,1352389657.21954,2176359281.00988
"57",2016-03-01,"基隆市",47783411.3398374,10271.5845528455,17020015.604065,102715845.528455
"58",2016-03-01,"連江縣",2398938.6365564,15207.2179813401,455130.309584394,5431149.27905004
"59",2016-03-01,"雲林縣",92843671.9728076,26526763.4208022,225517926.216179,404371393.609789
"60",2016-03-01,"新北市",584257855.047059,1618442.81176471,422854967.364706,1471311647.05882
"61",2016-03-01,"新竹市",72313161.1925134,564316.754010695,642918016.176471,806166791.44385
"62",2016-03-01,"新竹縣",78583950.2761795,1198140.94591484,563760554.49252,704788791.714615
"63",2016-03-01,"嘉義市",37122065.4978541,429921.471244635,6605908.76008584,82677206.0085837
"64",2016-03-01,"嘉義縣",65969929.1318052,16822036.8051576,72757768.5444126,196748968.481375
"65",2016-03-01,"彰化縣",165049601.928783,29172654.7477745,459606919.139466,786324925.816024
"66",2016-03-01,"澎湖縣",13275741.5458566,345831.129422719,3386760.02607076,29813028.3985102
"67",2016-04-01,"台中市",400790231.381333,12726705.936,1152271915.22133,2020112053.33333
"68",2016-04-01,"台北市",365624144.808131,1555374.66645817,33329457.1383894,1110981904.61298
"69",2016-04-01,"台東縣",29718277.8937056,2343171.91084987,10208514.2091599,71438168.0137154
"70",2016-04-01,"台南市",261408320.916162,26725451.3396716,1558219088.65601,2087925885.91184
"71",2016-04-01,"宜蘭縣",62325356.3117371,5024641.51361502,127447680.559624,247519286.384977
"72",2016-04-01,"花蓮縣",48862897.4560056,2113091.24092179,82485358.0858939,186999224.860335
"73",2016-04-01,"金門縣",8083173.02008368,188766.331589958,2100273.81569038,19870140.167364
"74",2016-04-01,"南投縣",71705482.0739762,7899946.69484808,93856753.0620872,224430303.830911
"75",2016-04-01,"屏東縣",104982431.249286,55541873.7658099,89795459.1986944,331593276.21379
"76",2016-04-01,"苗栗縣",64558088.6992716,1640827.84599376,445230148.969823,565802705.515088
"77",2016-04-01,"桃園市",362993377.27108,2224224.12543554,1540052784.45157,2224224125.43554
"78",2016-04-01,"高雄市",323779391.030546,17940282.8803205,1367519420.03205,2135747961.94291
"79",2016-04-01,"基隆市",55969615.7788018,11153.7695852535,16831038.3041475,111537695.852535
"80",2016-04-01,"連江縣",1728958.56337481,11714.3993001555,366183.444790047,4338666.40746501
"81",2016-04-01,"雲林縣",92429399.7799594,24941903.1076506,224396928.923494,400995226.811104
"82",2016-04-01,"新北市",576278314.500972,1594732.4426442,424633756.773169,1449756766.04018
"83",2016-04-01,"新竹市",65883385.6104996,641200.83319221,640319182.046571,801501041.490263
"84",2016-04-01,"新竹縣",88540815.5399361,1241909.12886049,572081787.535676,730534781.682641
"85",2016-04-01,"嘉義市",37382190.1303617,431919.278805719,6588886.25315391,84690054.6677881
"86",2016-04-01,"嘉義縣",60151781.1111111,15568456.2373737,83881944.4191919,204042676.767677
"87",2016-04-01,"彰化縣",167657876.612268,30556739.3247046,466515721.277434,808379347.214406
