"","city","house","agri","industry","Total"
"1","台中市",542340941.458251,14240538.508123,1840193912.93225,2864026088.39775
"2","台北市",488782784.189445,1166550.55779921,52712871.7725916,1286783954.08129
"3","台東縣",37005807.8007234,2707637.36024232,10411430.0837159,81790272.5952197
"4","台南市",352448602.085217,35392706.598186,1912345578.70584,2552439938.40484
"5","合計",4374315100.08525,275496137.368402,10884157616.6394,19257435591.513
"6","宜蘭縣",84392814.4315242,6241592.25222776,138551303.091301,295831465.009045
"7","花蓮縣",59700947.9627021,2308326.75733788,86618099.3606037,208992441.989871
"8","金門縣",11594256.4044068,305996.906939319,3405296.52218256,25384996.0252591
"9","南投縣",78179375.378216,9122706.55010249,108121702.103439,249291198.229456
"10","屏東縣",143270726.957979,63860166.8438067,111888148.64614,411744203.874528
"11","苗栗縣",95169731.3149594,2896946.99756483,490779645.92098,647862920.524835
"12","桃園市",439312278.721344,4299659.13609664,1674519895.09599,2472099645.65219
"13","高雄市",496517655.775983,20661701.8804549,1605372961.89079,2564192136.31464
"14","基隆市",64782412.5740713,7394.71060137336,18841447.4190147,126010091.004178
"15","連江縣",2595085.04898305,7107.11159627913,705033.803992664,6465618.10647603
"16","雲林縣",124007771.11725,37823959.8564184,262505334.521892,496241161.911202
"17","新北市",781599762.408017,2325631.03538608,536843240.481899,1826015322.75065
"18","新竹市",93614715.1685594,888995.848000321,712440466.723073,906907398.952953
"19","新竹縣",115621043.868366,1958798.34968729,635019794.90661,834405772.018515
"20","嘉義市",47399429.0675181,617393.93731533,8744986.99540532,99498826.4896856
"21","嘉義縣",81472157.4937091,24012916.5002347,111597560.359947,262493967.537741
"22","彰化縣",217400287.995893,44264076.5173242,557997644.933074,1000874694.22168
"23","澎湖縣",16847005.0677891,410563.552432534,4470451.30957137,37871593.5327639
