"","city","house","agri","industry","Total"
"1","台中市",483931702.692099,13672356.7155775,1356632459.66735,2394744956.45885
"2","台北市",460039429.987746,1610651.75487038,35917010.9332357,1317436733.22634
"3","台東縣",32940839.1228076,2489709.28496872,10396015.2407299,76861867.3358533
"4","台南市",319635900.570545,33235481.4748052,1574627230.73618,2195238480.61155
"5","合計",3951459861.43403,253597317.149001,9434009663.41,17639630480.351
"6","宜蘭縣",73659506.28557,5895342.56353545,126749769.830197,271637959.855644
"7","花蓮縣",54058676.9939179,2667964.62642772,85746446.2928125,202310044.861794
"8","金門縣",9908159.1265707,261202.181435523,2697208.22317264,24459193.6888166
"9","南投縣",71086199.4879099,9544252.45385877,96094999.0790082,231525366.82052
"10","屏東縣",134536048.762645,61398864.8877007,95035579.6055316,383541891.887505
"11","苗栗縣",83913009.062946,2301011.54123885,443360947.121759,592543164.045098
"12","桃園市",376520958.680068,2625875.82169945,1602036325.04132,2358511770.1682
"13","高雄市",471340273.302695,20355266.3975957,1419312015.03104,2382299342.17076
"14","基隆市",59666545.4901111,12301.9017642519,17803947.4689612,123019017.642519
"15","連江縣",2313251.2921287,20123.608645925,502724.746418043,5973658.01906758
"16","雲林縣",110435508.970085,33609058.9156558,248516585.868614,459897175.706302
"17","新北市",700120253.590266,1766304.81329543,450848304.719144,1712581457.3961
"18","新竹市",82172471.9104148,735696.183548759,646806414.089561,836800743.039319
"19","新竹縣",96574781.953709,1669001.63534828,630562889.921972,808458321.171502
"20","嘉義市",44065126.416835,533638.757534847,7042985.03056008,98163718.6835676
"21","嘉義縣",74120232.652981,20857767.8556126,83422781.5581648,226372080.520301
"22","彰化縣",195859297.716821,37836339.0109898,496184611.820351,903035560.466525
"23","澎湖縣",14908375.1095622,441867.59090882,3612216.93439416,34272775.7740486
