"","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01"
"桃園市",2079261690.78947,1860649595.9596,2149795829.78723,2224224125.43554,2327668087.22741,2409733823.35148,2497573466.04215,2703459843.27908,2470281800.9206,2512989647.20195,2276611015.10574,2288941253.26371,2033561938.13131,2018947410.71429,2197670099.50249,2213693990.57873,2304210785.17588,2403762678.13268,2499138316.77382,2708348520.2864,2605238165.61242,2646675338.12089,2361866947.62191,2309027051.36758,2234621032.02847,1938101235.00353,2287208850.32538,2282816083.96421,2396204596.62289,2462414087.06167,2552502282.15768,2738491747.09835,2515920268.69159,2484109385.57994,2243878358.30212,2237699788.73239,2180870000,1905007952.80612,2148365047.10633,2219295956.07235,2297463337.4158,2351115467.83626,2456914727.48135,2646390241.69184,2453927757.39645,2489384407.10209,2199835878.59425,2200278928.08684,1972329610.56106,2134896687.76371,2202832614.04779,2123766778.00974,2147004924.43325,2330857822.67793,2494556172.41379,2654357276.70206,2546645110.05354,2643200931.20222,2217046348.2781,2229668545.08197,2253457487.10391,2032202130.90909,2328076264.70588,2331308660.84425,2450799344.2623,2551200880.72122,2653458421.05263,2789323392.22615,2665686491.67734,2768130484.72776,2435225334.69945,2406326854.89635
"高雄市",2138427986.18491,1822200265.07277,2176359281.00988,2135747961.94291,2423464414.89362,2310010641.37308,2584845753.29108,2483022890.55192,2467644086.79065,2460764833.89504,2530595072.16495,2261600834.16087,2193342550.37116,1985635637.22898,2272357656.25,2179768681.54158,2413007531.23438,2345284873.94958,2622057775.571,2534623085.10638,2631379099.0099,2544068090.90909,2576893120.71692,2289174004.16017,2333472528.0567,1969299040.69767,2440358963.85542,2308890794.08543,2573886240.08461,2461690915.38842,2711034363.05732,2573476194.87179,2657938826.31579,2567316608.64979,2581366230.85339,2365624942.10526,2376439508.73362,2016236106.70893,2369504196.97818,2293789699.17012,2514884068.05485,2412228699.61612,2632544543.57916,2536332285.99703,2633180356.41548,2517687620,2540944516.47758,2279775451.59546,2221429117.98396,2186424380.02296,2418864356.97115,2242100580.50383,2447067026.02231,2424485909.99011,2728818972.53306,2605690533.19394,2763338114.19591,2588284465.04237,2595422479.20133,2364544830.27268,2385896303.82775,2039938944.60641,2543115609.16767,2417037554.03868,2629858761.21076,2532734597.37293,2795799364.9815,2645935590.09787,2796708408.70063,2718434677.59563,2751342545.77673,2513503278.39906
"基隆市",99866535.3925354,99255869.3081017,102715845.528455,111537695.852535,111836743.17468,126453275.064267,135341849.349349,160121279.170268,147454593.92945,145753293.172691,119768903.576983,116250183.360701,100526366.161616,104857139.935729,100744168.484188,110409217.610768,108705168.263326,119815774.144098,130350087.655223,155773670.561414,150453885.542169,155868509.815586,123531726.332538,115192497.203579,102189323.427965,100679263.222256,106152580.206634,113571972.808794,108951887.013596,124341524.279408,132108397.117296,154068947.82358,147219697.133586,142125669.76326,112867907.755733,110691714.74791,102174607.576133,103349434.92636,102978931.855057,112506949.39214,110570355.380059,122339650.276098,127362051.922117,153628246.920653,150048745.733788,147464274.268105,114487781.333333,109639318.885449,95825048.902987,111852043.77312,104443833.572453,108407998.215348,108249689.942678,130566640.690231,142976707.284768,160951771.875,151927077.793494,144469385.001569,112220454.181138,105722192.527952,105027504.145937,110233681.444992,109275211.900084,111493543.776057,107605224.334601,126660326.054442,132685732.86052,156961108.117211,148326482.617587,158095368.956743,126863168.172544,118893739.669421
"連江縣",4927383.17757009,4682951.25666413,5431149.27905004,4338666.40746501,5450847.84411277,5171103.2950759,6079226.91343744,6334074.5363766,6795044.31751034,6380103.99562124,6247280.70175439,5006514.24423879,7078053.8746828,5642100.39086608,5184787.47203579,4906288.85166574,5538998.44720497,5337478.73848335,6734845.96484596,6832252.38180838,7304653.59984475,6561993.72346317,5751420.54574639,4811022.23816356,5408495.55649598,4688244.41312664,5410040.68522484,4982658.05168986,5616615.38461538,5544682.94460641,6789722.89156627,6956537.1024735,7429324.7520574,6137878.43816118,5547199.16142558,5039174.7754491,5659299.10524073,5318943.17048854,5580450.08912656,5134280.69490533,5740532.00332502,5721042.28486647,6555584.83033932,7085996.26865672,7835847.36951549,6589384.82437415,5904665.68544996,5107543.82621951,5460758.80758808,5442702.64965653,5768289.67642527,5349192.81626209,5905554.8455804,5882114.47320452,7980995.63665212,7610154.74617852,8365072.52215955,6783785.39780389,6071388.71794872,5312802.29970326,6210687.03898841,5486062.56517205,6207673.5218509,5672629.80578676,6229402.28478172,5841893.35827877,7065904.52261307,7159896.39370392,8205881.46875671,7344522.90458092,6536711.04321257,5626152.36998657
"雲林縣",394760220.820189,346858055.555556,404371393.609789,400995226.811104,446341267.519805,458499282.539683,501324909.204759,511001885.676741,505207282.878412,485515154.098361,467696749.844042,441352831.564987,408310026.229508,389895752.727273,426716133.72093,422116975.574713,459078093.959732,462741412.969283,499355316.786414,503383653.846154,513959178.525226,514463917.525773,480599512.516469,438146134.094151,425258771.331058,373264610.951009,447916545.842218,444888417.317246,480365369.551485,495659387.62215,525629584.120983,518524310.00654,518795636.250776,495782225.21915,471680926.395939,434154724.770642,428599095.509171,380852669.836957,437815436.957972,438004709.066306,475974524.405507,468674444.444444,497810788.508557,507244573.845153,512002045.454545,500946178.428762,477207463.164638,433744400,401938637.566138,417695197.740113,447941293.286219,427868062.068966,457221247.588424,481343214.765101,538276088.834053,525240612.382234,541614919.852034,509574327.645051,485886065.468549,436607683.344757,443591336.467428,399951749.633968,473906802.443992,469294838.012959,495335822.95082,527770849.056604,536952997.873848,524327346.791637,543842922.465209,545490636.678201,523417422.611036,471011217.948718
"新北市",1439293916.59376,1280168835.2,1471311647.05882,1449756766.04018,1639112906.37565,1679928768.86653,1965565179.57851,2072507945.2496,2135141001.85529,1904752635.53745,1774826419.31684,1556651276.2717,1448736176.89016,1343811720.90113,1452001627.76222,1465926060.32045,1604282589.90719,1621778783.06878,1910187109.87726,2048660944.90711,2192647125.82366,2062317412.90323,1855819747.02835,1544808189.36366,1532962943.7521,1343420017.95332,1533775910.33539,1508025877.73224,1646823738.48987,1737683754.80154,2028992687.6434,2103910520.2514,2170183295.91837,1889032145.36517,1681186298.80607,1504456364.22136,1509899163.05022,1345474373.53826,1481686928.90059,1478301187.955,1647559823.42007,1685852078.70517,1917977194.29127,2068601022.20656,2225414313.23582,1951151775.25622,1707928280.8311,1493991564.97759,1411663899.53734,1469367959.77012,1537525838.97399,1465501333.80884,1597832889.54635,1759103968.46696,2150715351.82679,2146194715.0838,2255033471.39347,1931362624.45095,1694617545.72664,1487995888.27541,1568892801.09178,1463452122.00599,1622943616.72952,1570646363.31319,1672663793.66634,1809302122.90503,2092308906.97674,2152067246.14135,2242112463.87283,2143844369.50147,1934757125.22046,1639192941.58313
"新竹市",784456346.153846,719674120.982987,806166791.44385,801501041.490263,877292663.043478,875525748.324646,932767597.305389,943739255.079007,918779421.793921,905401965.361446,845792590.909091,810644919.484702,786335250.219491,709313865.187713,791343044.982699,783132313.371616,844484332.810047,845009760.11994,912277061.85567,925815081.001473,922890704.94186,895623179.487179,838727549.618321,786656772.875817,781803563.535912,701699441.233141,813309444.949955,795416429.192007,868947071.428571,864754340.359095,932750191.570881,941278656.832298,916971232.048375,868749397.590361,827558412.052117,796794578.41484,792062702.936097,715316144.79638,800849620.141343,806216722.972973,860363934.030571,862273993.808049,933865360.983103,945222546.296296,923543850.26738,892061981.057616,828474014.962593,807643330.34915,794885131.450828,766652626.168224,831215918.560606,800585648.496241,884271671.04112,895913100.649351,983343744.07583,973524412.251656,959863590.150913,910314520.31115,858760780.322307,825788219.895288,841720467.557252,744341406.401552,854405477.06422,802694836.716681,931510405.770965,924858437.209302,997151148.459384,987280164.986251,998697047.78157,988164572.396274,926534636.524823,885530186.567164
"新竹縣",687424307.196563,638704756.871036,704788791.714615,730534781.682641,780794994.818653,803560009.337068,838740224.17154,884024648.01444,827213918.406072,851617400.185701,770974571.428571,771808356.435644,710133684.210526,679743991.811668,738607264.367816,753454612.159329,789204589.114194,833138880.157171,873415010.040161,924132729.85782,894273982.213439,905640215.15435,813299772.020725,786455122.95082,765548209.459459,684868235.294118,785943853.211009,788504910.6204,840570277.777778,858030802.987862,898467738.791423,934368374.655647,874429569.37799,861196615.532119,783776466.466466,780339124.157844,753385842.79476,674680687.984496,755335064.516129,774276351.626016,806859829.659319,836075777.153558,873565712.900097,912958981.981982,851293013.69863,852910329.972502,762329271.255061,759959454.926625,717748022.59887,733030010.741139,765802679.425837,744909107.725789,794665754.614549,839228444.444445,894541973.434535,914123473.282443,879597922.932331,859639872.673849,783041560.574949,771491930,742163560.042508,715117576.419214,783875477.497256,786982892.209178,830769147.121535,855044953.464323,901459672.489083,935732206.332993,900115222.868217,918807962.128043,825933698.760725,816866894.889103
"嘉義市",82300849.8873643,73983043.3825149,82677206.0085837,84690054.6677881,99433678.5644626,103355333.607062,115754090.241343,118760043.946385,118980641.025641,110133428.389019,105366560.283688,91837223.1578947,83511489.4480519,79054364.1493056,82331631.842875,83629058.0751077,94117213.0503145,97782563.4824668,111357054.166667,112877342.672414,118279101.051277,118188861.241874,108667911.53169,88168033.4907686,82007884.4933362,74381097.5046211,85606483.8435374,86451224.4897959,96431224.6884735,103842440.351612,115211758.429364,113666818.984547,115155734.341253,104580451.144366,97552587.5445586,87033500.42123,84055141.0335598,77241937.4589985,83241867.7446103,83525299.0924092,95878572.276053,99469558.9764926,110139372.63953,113057240.376007,117189001.331558,109035718.455321,101112905.390777,84752199.5614035,78285013.8209653,82276561.854487,84721042.9175006,82226125,93183657.1191366,104608586.169045,123572619.730744,119817538.534503,124484987.791343,112161877.617497,102737234.275696,86351689.9892357,85135480.5996473,79805392.6069099,91145099.4255413,88035896.7032967,94517602.207686,101669233.763075,110172908.266129,108273619.167718,115470313.531353,115915694.477648,110013461.809636,93831215.3175877
"嘉義縣",191024123.847167,161452187.088274,196748968.481375,204042676.767677,219873712.955123,225184267.352185,249501409.791478,248375218.961625,251017882.352941,241899513.636364,240916488.122962,205697170.474517,191854764.808362,186199713.467049,206071530.960507,206491490.654206,219907828.394516,237227214.654767,245111307.939422,243463125,255544619.312906,255509872.611465,249179834.669339,219903663.771078,201723086.598936,168975083.579154,209652350.577599,218124506.17284,241493763.802208,243807046.882552,266425504.771472,256978434.393638,263206222.772277,250374157.594609,249109773.445732,223992813.941568,208869011.257954,183374218.200101,225076373.922414,213961529.70297,235676879.466413,231373215.118992,250962893.843917,248298595.505618,259703341.95551,244190212.105535,241849830.418654,209612801.90678,190271529.471545,200464458.493678,218547991.145545,219401306.561086,226999034.345446,240934288.649204,282272386.722866,263719139.497595,282671344.450235,254205941.798942,259283972.677596,224150005.293806,223702794.279428,199223369.256948,252164856.304985,235966715.575621,251719214.768591,264421827.033219,278809722.222222,277015322.2945,296343221.709007,312209383.017715,301204794.776119,257146389.214537
"彰化縣",762822991.825613,663907056.682267,786324925.816024,808379347.214406,869537143.634385,892896356.589147,950509336.188437,1003837927.59706,948875576.131687,949734080.16444,903232186.68065,873559865.424431,781855525.510204,757626479.832373,843760528.762347,827650551.181102,879209459.172853,905826692.229039,968833995.869902,1019376348.71795,1007661613.23681,1017876209.34959,949195666.316894,877553655.419223,850006412.347117,724473649.754501,864780422.783324,870254713.411241,939459231.188659,964508540.906722,1022132260.1626,1058054604.77454,1002594018.98734,996554640.766365,926080452.609159,885391180.37813,871212473.867596,755832579.051383,880934983.642312,890998065.194532,952848009.503696,946462974.461693,1003652262.65823,1042411710.18945,999629244.897959,999999702.970297,934313287.520616,890056047.644829,794633032.223983,849097181.616833,892560427.400468,841572246.104245,865942156.7596,930219252.669039,1042721724.32432,1053806436.40351,1075156107.75151,1031573554.94506,962447362.576346,924481463.146315,916440759.565962,805636670.229824,955536791.350088,947987181.51071,994984655.267512,1037643867.713,1069704626.43678,1054154499.73248,1086029635.47334,1115911465.10389,1045176896.36163,981289281.914894
"澎湖縣",29679094.5054945,24144247.6012169,29813028.3985102,27417142.5318761,34836369.8915763,33173262.6568585,43325306.5217391,39301592.5165412,44123021.189337,35488611.6838488,36913735.7986188,28800974.5267586,30435013.0718954,25503740.6423569,29560071.3135496,27642378.5109229,34254923.1084683,32630581.8334031,42815865.8146965,38913439.7644928,44933473.2824427,37946918.5360094,38187474.7711805,28449428.6391655,30326156.8718186,25794286.7215041,32356326.6696956,30340582.8494864,36852719.9027158,35629034.8468849,45511147.4372495,41636772.1518987,46837087.1459695,36634795.0169875,36381789.950399,30740683.3226564,32808570.2235344,27665669.2203695,32222183.5100628,30387763.326226,37196550.3328626,37113316.4403,45361671.4756801,42038774.7205503,49288797.8979637,40567853.3094812,39843823.1552163,31171724.0622944,32568640.1849517,29837945.4253612,33497449.374289,29254143.8119382,35618769.296741,36175605.4601497,48838676.1842959,44896923.0769231,53404428.5399692,42591254.6382189,39216548.6141663,31420291.2205567,33958530.8697612,29017650.3667482,34945798.1999053,31993507.9365079,38168320.7388749,37404919.5558577,43987983.9494163,39494707.1850394,47121156.4139247,42340401.3298504,43201677.7094179,32824468.1378626
