"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"1",2018-01-01,"新北市",567361415,0.3701,455136698,0.2969,2258851,0.0015,508214000,0.3315,1532970964,0.0929,1532962943.7521,567349585.482654,2299444.41562816,508177215.853823
"2",2018-01-01,"台北市",367603251,0.3288,696676943,0.6231,547230,5e-04,53219150,0.0476,1118046574,0.0677,1118082078.31809,367625387.350987,559041.039159044,53220706.9279409
"3",2018-01-01,"桃園市",301386849,0.1349,313964255,0.1405,2909672,0.0013,1616453519,0.7233,2234714295,0.1354,2234621032.02847,301450377.220641,2905007.34163701,1616301392.46619
"4",2018-01-01,"台中市",405744039,0.1738,389495882,0.1668,12436983,0.0053,1526833237,0.654,2334510141,0.1414,2335107206.23501,405841632.443645,12376068.1930456,1527160112.8777
"5",2018-01-01,"台南市",259292859,0.1262,233136259,0.1135,25898576,0.0126,1536475135,0.7477,2054802829,0.1245,2054063955.94714,259222871.240529,25881205.8449339,1535823619.86167
"6",2018-01-01,"高雄市",425577665,0.1824,395056899,0.1693,18889248,0.0081,1493917655,0.6402,2333441467,0.1413,2333472528.0567,425625389.117543,18901127.4772593,1493889112.4619
"7",2018-01-01,"宜蘭縣",64297581,0.2442,60324520,0.2292,4147811,0.0158,134478808,0.5108,263248720,0.0159,263195986.038394,64272459.7905759,4158496.57940663,134440509.668412
"8",2018-01-01,"新竹縣",77609298,0.1013,67980681,0.0888,1385966,0.0018,618967032,0.8081,765942977,0.0464,765548209.459459,77550033.6182432,1377986.77702703,618639508.064189
"9",2018-01-01,"苗栗縣",73783419,0.1335,53135507,0.0962,1999128,0.0036,423697768,0.7667,552615822,0.0335,552344147.609148,73737943.7058212,1988438.93139293,423482257.971934
"10",2018-01-01,"彰化縣",165559285,0.1947,145946101,0.1717,29984885,0.0353,508675651,0.5983,850165922,0.0515,850006412.347117,165496248.483984,30005226.3558532,508558836.50728
"11",2018-01-01,"南投縣",59243619,0.2785,47904414,0.2252,7089554,0.0333,98495673,0.463,212733260,0.0129,212719422.735346,59242359.231794,7083556.77708703,98489092.7264654
"12",2018-01-01,"雲林縣",90079021,0.2118,62300410,0.1465,25345353,0.0596,247563005,0.5821,425287789,0.0258,425258771.331058,90069807.7679181,25345422.7713311,247543130.791809
"13",2018-01-01,"嘉義縣",64518586,0.3198,41696162,0.2067,16383292,0.0812,79124979,0.3922,201723019,0.0122,201723086.598936,64511043.0943396,16379914.6318336,79115794.5641026
"14",2018-01-01,"屏東縣",120334605,0.3426,84984339,0.2419,57952647,0.165,88017046,0.2506,351288637,0.0213,351320128.152129,120362275.904919,57967821.1451013,88040824.1149235
