"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"1",2017-01-01,"新北市",548509760,0.3786,507782030,0.3505,1617045,0.0011,391009225,0.2699,1448918060,0.093,1448736176.89016,548491516.570613,1593609.79457917,391013894.142653
"2",2017-01-01,"台北市",364584957,0.3251,721849288,0.6436,1442179,0.0013,33619596,0.03,1121496020,0.072,1121580621.50404,364625860.050963,1458054.80795525,33647418.6451212
"3",2017-01-01,"桃園市",279153727,0.1373,322116211,0.1584,2302943,0.0011,1430102068,0.7032,2033674949,0.1305,2033561938.13131,279208054.105429,2236918.13194444,1430000754.89394
"4",2017-01-01,"台中市",393084401,0.1873,486374423,0.2317,11950853,0.0057,1207661939,0.5753,2099071616,0.1347,2099155904.18645,393171900.854122,11965188.6538628,1207644391.67846
"5",2017-01-01,"台南市",255417678,0.1281,232754419,0.1168,26957513,0.0135,1478160279,0.7416,1993289889,0.1279,1992760436.64384,255272611.934075,26902265.8946918,1477831139.81507
"6",2017-01-01,"高雄市",425962316,0.1942,413664405,0.1886,18651243,0.0085,1335459239,0.6088,2193737203,0.1408,2193342550.37116,425947123.282079,18643411.6781548,1335306944.66596
"7",2017-01-01,"宜蘭縣",59880891,0.2461,57995963,0.2383,4397589,0.0181,121072355,0.4975,243346798,0.0156,243373743.180864,59894278.1968107,4405064.75157365,121078437.23248
"8",2017-01-01,"新竹縣",72451935,0.102,67462700,0.095,1393156,0.002,569084666,0.8011,710392457,0.0456,710133684.210526,72433635.7894737,1420267.36842105,568888094.421053
"9",2017-01-01,"苗栗縣",69793191,0.1298,58581209,0.109,1707172,0.0032,407554133,0.758,537635705,0.0345,537442284.40367,69760008.5155963,1719815.31009174,407381251.577982
"10",2017-01-01,"彰化縣",157319801,0.2013,153243683,0.196,31285394,0.04,439850244,0.5627,781699122,0.0502,781855525.510204,157387517.285204,31274221.0204082,439950104.204592
"11",2017-01-01,"南投縣",56829707,0.2856,49473213,0.2486,8275491,0.0416,84410282,0.4242,198988693,0.0128,199007292.839903,56836482.8350764,8278703.38213998,84418893.6226871
"12",2017-01-01,"雲林縣",88132384,0.2158,62267279,0.1525,25913610,0.0634,232114153,0.5683,408427426,0.0262,408310026.229508,88113303.6603279,25886855.6629508,232042587.90623
"13",2017-01-01,"嘉義縣",63171354,0.3293,44049854,0.2296,16099515,0.0839,68497051,0.3571,191817774,0.0123,191854764.808362,63177774.0513937,16096614.7674216,68511336.5130662
"14",2017-01-01,"屏東縣",118911864,0.3461,83664595,0.2435,56882742,0.1656,84100698,0.2448,343559899,0.022,343591765.913758,118917110.182752,56898796.4353183,84111264.2956879
"15",2017-01-01,"台東縣",26606811,0.4093,26457040,0.4069,2056585,0.0316,9892645,0.1522,65013081,0.0042,65020987.9577292,26613090.3710986,2054663.21946424,9896194.36716638
